,ABBA,Billie Eilish,Ed Sheeran,JAY-Z,Macklemore,Rage Against the Machine,Taylor Swift,The Beatles,The Wolfe Tones
schoolbag,0.007672558987479767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hand,0.01617171047835936,0.0134428409173261,0.036099038338777686,0.008895985801977566,0.018896600197368905,0.010922181353121282,0.028806478109352492,0.03438776921664668,0.05812946201470922
leaves,0.003250103678805159,0.00424548159093763,0.004836660803988236,0.0016388785755597707,0.002198690077720366,0.002195081456835352,0.006065055904236144,0.0,0.003779647771028883
home,0.005880621992130676,0.042248928597310595,0.0634467946560335,0.01556797515346074,0.024863947628116983,0.021844362706242564,0.05212600800739975,0.0818756409920159,0.0735166725480146
early,0.003596422433695579,0.0023489320256243162,0.0,0.002720266916567907,0.0012164870880618211,0.0024289810342462918,0.0,0.0020029132457820326,0.010455981853625866
morning,0.029403109960653383,0.0019204058453322998,0.008751282021521863,0.00518932505115358,0.011934694861496151,0.00099292557755648,0.0027434741056526183,0.006550051279361272,0.046161631599916146
waving,0.00648036547158851,0.0,0.0,0.0,0.0,0.002188380969654105,0.0,0.0,0.0
goodbye,0.008125259197012898,0.01273644477281289,0.002418330401994118,0.0032777571511195414,0.003298035116580549,0.0,0.004548791928177108,0.04525105037337488,0.01133894331308665
smile,0.019112021474424697,0.0019204058453322998,0.009845192274212097,0.011861314402636755,0.003978231620498717,0.00297877673266944,0.012345633475436782,0.006550051279361272,0.027355040948098455
watch,0.019500622072830955,0.0849096318187526,0.010882486808973533,0.020485982194497133,0.03298035116580549,0.02195081456835352,0.024260223616944576,0.0,0.007559295542057766
go,0.1293736838268749,0.1440304383999225,0.10720320476364283,0.06449589706433735,0.20786260217105795,0.029787767326694404,0.0905346454865364,0.08351315381185623,0.08377481290355152
surge,0.0038362794937398833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sadness,0.0028172453552938364,0.0,0.006288750236197225,0.0,0.0,0.0,0.0,0.0,0.009828789644789827
sit,0.008820932988196015,0.0096020292266615,0.004375641010760932,0.0007413321501647972,0.01392381067174551,0.004964627887782401,0.012345633475436782,0.011462589738882227,0.003419380118512307
feeling,0.06027637541933943,0.0172836526079907,0.0032817307580706987,0.037807939658404656,0.028842179248615697,0.00099292557755648,0.012345633475436782,0.016375128198403182,0.00512907017776846
losing,0.003596422433695579,0.0046978640512486325,0.001338009271294556,0.002720266916567907,0.0012164870880618211,0.0,0.003355662660526519,0.0020029132457820326,0.0
forever,0.007350777490163346,0.007681623381329199,0.012033012779592563,0.03854927180856945,0.007956463240997434,0.00099292557755648,0.038408637479136656,0.016375128198403182,0.0017096900592561534
without,0.024992643466555376,0.021124464298655297,0.014220833284973028,0.018533303754119927,0.01292925276662083,0.030780692904250884,0.008230422316957855,0.006550051279361272,0.018806590651817688
really,0.04062629598506449,0.09340059500062785,0.012091652009970592,0.020485982194497133,0.05826528705958969,0.0,0.021227695664826504,0.019910462164284947,0.003779647771028883
entering,0.0038362794937398833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
world,0.055865908925241424,0.0288060876799845,0.030629487075326523,0.03261861460725107,0.05171701106648332,0.020851437128686083,0.0150891075810894,0.04748787177536923,0.022225970770329995
glad,0.008125259197012898,0.00849096318187526,0.001209165200997059,0.0008194392877798854,0.003298035116580549,0.0,0.001516263976059036,0.01629037813441496,0.003779647771028883
whenever,0.0017982112168477896,0.0,0.00669004635647278,0.003627022555423876,0.0012164870880618211,0.0012144905171231459,0.0016778313302632595,0.0020029132457820326,0.0
share,0.008820932988196015,0.0019204058453322998,0.0032817307580706987,0.0014826643003295944,0.004972789525623396,0.00099292557755648,0.0013717370528263091,0.004912538459520954,0.006838760237024614
laughter,0.01296073094317702,0.0,0.0,0.0,0.0,0.0,0.0,0.007218067443326274,0.0
funny,0.03056959068641242,0.0046978640512486325,0.005352037085178224,0.000906755638855969,0.0,0.0024289810342462918,0.008389156651316298,0.0020029132457820326,0.0
little,0.05880621992130677,0.011522435071993799,0.03828685884415815,0.024463960955438305,0.032820410869114414,0.006950479042895361,0.04663905979609451,0.06713802561345304,0.015387210533305381
girl,0.04851513143507808,0.0345673052159814,0.036099038338777686,0.0259466252557679,0.05370612687673268,0.00099292557755648,0.019204318739568328,0.0540379230547305,0.018806590651817688
slipping,0.02535520819764453,0.0,0.0020962500787324086,0.0,0.0,0.0019027340817122755,0.0,0.0,0.0
fingers,0.019780323385325687,0.0023489320256243162,0.01605611125553467,0.003627022555423876,0.0048659483522472844,0.0,0.005033493990789778,0.004005826491564065,0.0
time,0.11467212884654819,0.0940998864212827,0.10939102526902329,0.07190921856598533,0.105423137943216,0.055603832343162886,0.1810692909730728,0.05895046151425145,0.047871321659172295
try,0.045574820439012745,0.0480101461333075,0.008751282021521863,0.017791971603955133,0.032820410869114414,0.019858511551129603,0.006858685264131545,0.014737615378562862,0.011967830414793074
capture,0.00845173606588151,0.0,0.0,0.0,0.003811724191805196,0.0019027340817122755,0.0,0.0,0.0
every,0.04704497593704541,0.023044870143987598,0.05907115364527258,0.034842611057745464,0.05569524268698204,0.028794841749137923,0.05349774506022605,0.016375128198403182,0.06496822225173383
minute,0.017982112168477896,0.007046796076872949,0.001338009271294556,0.004533778194279845,0.006082435440309105,0.0048579620684925835,0.0,0.0020029132457820326,0.0
see,0.1323139948229402,0.1075427273386088,0.0831371792044577,0.08599452941911646,0.10741225375346536,0.03276654405936384,0.1069954901204521,0.07532558971265463,0.07180698248875844
mind,0.03087326545868605,0.076816233813292,0.04485032036029955,0.030394618156756682,0.01292925276662083,0.04766042772271104,0.04252384863761558,0.036025282036487,0.022225970770329995
think,0.08820932988196015,0.1248263799465995,0.042662499854919086,0.017791971603955133,0.06066803221260544,0.028794841749137923,0.07681727495827331,0.044212846135688585,0.03932287136289153
close,0.014701554980326692,0.007681623381329199,0.02953557682263629,0.009637317952142363,0.006961905335872755,0.00794340462045184,0.01646084463391571,0.004912538459520954,0.00512907017776846
knowing,0.06885560651779445,0.0,0.0016527076398647337,0.0,0.006010414269525562,0.0,0.00207245548847923,0.012369981637300275,0.0
keeps,0.011967138767248144,0.0,0.0029681612614850528,0.0,0.043177337285723115,0.0026941545045335424,0.001861001289241815,0.0022215726130558194,0.0
growing,0.015548040181437456,0.0,0.006610830559458935,0.0022400472163810253,0.024041657078102248,0.0,0.0,0.0,0.018081304851555343
sleep,0.011761243984261352,0.023044870143987598,0.01859647429573396,0.0059306572013183775,0.01292925276662083,0.010922181353121282,0.010973896422610473,0.009825076919041909,0.0017096900592561534
eyes,0.055865908925241424,0.134428409173261,0.08204326895176747,0.03261861460725107,0.029836737153740377,0.04567457656759808,0.03292168926783142,0.04093782049600795,0.061548842133221524
breakfast,0.00845173606588151,0.0,0.0,0.0028412158572022803,0.0,0.0,0.0026286470008994246,0.0,0.0
table,0.004875155518207739,0.002122740795468815,0.004836660803988236,0.004097196438899427,0.002198690077720366,0.001097540728417676,0.007581319880295181,0.0018100420149349953,0.0
barely,0.0019945231278746907,0.002605366492555812,0.007420403153712632,0.001005746753264806,0.013492917901788474,0.0,0.0,0.0,0.004638987330587901
awake,0.003989046255749381,0.0,0.0059363225229701055,0.0,0.004047875370536542,0.0013470772522667712,0.001861001289241815,0.0022215726130558194,0.0
let,0.07497793039966612,0.11138353902927339,0.07110416642486514,0.10823449392406038,0.105423137943216,0.024823139438912,0.04252384863761558,0.15228869224514957,0.03248411112586692
precious,0.006663445792044625,0.0,0.0016527076398647337,0.0,0.016528639241195294,0.0030002748101299512,0.00207245548847923,0.0,0.0
gone,0.04998528693311075,0.019204058453323,0.020784294801114427,0.011861314402636755,0.032820410869114414,0.006950479042895361,0.017832581686742018,0.021287666657924136,0.03248411112586692
